Item ID,Key,Options,Domain,Include,Item Type
Item01,A,4,1,Y,M
Item02,D,4,1,Y,M
Item03,C,4,1,Y,M
Item04,D,4,1,Y,M
Item05,B,4,1,Y,M
Item06,D,4,1,Y,M
Item07,A,4,1,Y,M
Item08,C,4,1,Y,M
Item09,D,4,1,P,M
Item10,B,4,1,P,M
Item11,A,4,2,Y,M
Item12,A,4,2,Y,M
Item13,D,4,2,Y,M
Item14,C,4,2,Y,M
Item15,C,4,2,Y,M
Item16,D,4,2,Y,M
Item17,A,4,2,Y,M
Item18,B,4,2,Y,M
Item19,B,4,2,Y,M
Item20,B,4,2,Y,M
Item21,C,4,2,Y,M
Item22,D,4,2,Y,M
Item23,D,4,2,Y,M
Item24,A,4,2,Y,M
Item25,C,4,2,Y,M
Item26,B,4,2,Y,M
Item27,D,4,2,P,M
Item28,A,4,2,P,M
Item29,C,4,3,Y,M
Item30,D,4,3,Y,M
Item31,D,4,3,Y,M
Item32,C,4,3,Y,M
Item33,D,4,3,Y,M
Item34,A,4,3,Y,M
Item35,B,4,3,Y,M
Item36,C,4,3,Y,M
Item37,D,4,3,Y,M
Item38,A,4,3,Y,M
Item39,B,4,3,P,M
Item40,D,4,3,P,M
Item41,A,4,4,Y,M
Item42,D,4,4,Y,M
Item43,B,4,4,Y,M
Item44,C,4,4,Y,M
Item45,C,4,4,Y,M
Item46,B,4,4,Y,M
Item47,A,4,4,Y,M
Item48,D,4,4,Y,M
Item49,C,4,4,P,M
Item50,A,4,4,P,M
Item51,+,3,1,Y,P
Item52,+,4,1,Y,P
Item53,+,5,1,Y,P
Item54,+,3,2,Y,P
Item55,+,4,2,Y,P
Item56,+,5,2,Y,P
Item57,+,3,3,Y,P
Item58,+,4,3,Y,P
Item59,+,5,4,Y,P
Item60,+,5,4,Y,P
