Examinee ID,Group,Inclusion Code,Item.001,Item.002,Item.003,Item.004,Item.005,Item.006,Item.007,Item.008,Item.009,Item.010,Item.011,Item.012,Item.013,Item.014,Item.015,Item.016,Item.017,Item.018,Item.019,Item.020,Item.021,Item.022,Item.023,Item.024,Item.025,Item.026,Item.027,Item.028,Item.029,Item.030,Item.031,Item.032,Item.033,Item.034,Item.035,Item.036,Item.037,Item.038,Item.039,Item.040,Item.041,Item.042,Item.043,Item.044,Item.045,Item.046,Item.047,Item.048,Item.049,Item.050
Examinee.00001,P,Y,A,A,A,C,B,B,A,D,C,D,A,D,C,B,A,D,D,A,B,C,A,D,A,A,A,A,C,B,B,C,A,C,A,B,D,D,D,B,B,A,C,C,B,A,A,B,A,B,B,D
Examinee.00002,P,Y,A,A,A,C,B,B,A,D,C,D,B,B,A,B,D,D,D,A,B,C,A,C,A,C,A,D,C,B,B,A,A,C,A,A,D,D,D,C,B,D,C,C,C,A,A,D,A,B,B,A
Examinee.00003,P,Y,A,A,A,B,C,B,C,D,C,D,A,B,C,B,A,D,D,A,B,C,A,C,D,C,B,D,C,C,B,A,A,C,A,B,D,D,D,A,B,C,D,D,C,B,B,D,B,B,B,A
Examinee.00004,P,Y,A,A,A,B,C,B,C,D,C,D,B,B,C,D,A,D,D,A,B,C,A,C,A,D,A,D,C,C,B,C,A,C,A,B,D,D,D,A,B,D,C,C,B,A,A,D,B,B,B,A
Examinee.00005,P,Y,A,A,D,B,C,B,A,D,C,D,A,B,C,B,A,D,D,A,B,C,A,B,A,A,A,A,C,B,B,B,B,C,A,B,D,D,D,A,B,A,C,C,B,A,A,D,C,B,B,A
Examinee.00006,P,Y,A,A,A,C,C,B,C,D,C,D,A,B,C,B,D,D,D,A,B,C,A,C,B,D,A,A,C,C,B,A,A,C,A,B,D,D,D,B,B,D,C,C,B,A,A,D,B,B,B,A
Examinee.00007,P,Y,A,A,A,C,B,C,C,D,C,D,A,B,C,B,A,D,D,A,A,C,A,C,A,A,A,D,C,C,B,A,A,A,A,B,D,D,D,C,B,D,C,C,B,A,A,D,B,B,B,A
Examinee.00008,P,Y,A,A,A,B,C,B,C,D,C,D,C,B,C,B,A,D,D,A,B,C,A,C,A,D,A,A,C,C,B,A,A,C,A,B,D,D,D,B,B,D,C,C,B,A,A,D,C,B,B,A
Examinee.00009,P,Y,A,A,A,B,C,B,A,D,C,D,A,B,C,B,A,D,D,A,B,C,A,C,A,A,A,D,C,C,B,A,A,A,A,A,D,D,D,C,B,D,C,C,B,A,A,D,A,B,B,A
Examinee.00010,P,Y,A,A,A,C,C,B,C,D,C,D,A,B,C,B,D,D,D,A,B,C,A,C,A,C,A,A,C,C,B,C,A,C,A,A,D,D,D,B,B,A,C,C,B,D,A,A,B,B,A,A
Examinee.00011,P,Y,A,A,D,C,A,B,A,D,C,A,A,B,C,B,A,D,D,A,B,C,A,C,A,A,A,D,C,C,B,A,A,A,A,B,D,D,D,C,B,D,C,C,B,A,A,D,D,B,B,A
Examinee.00012,P,Y,A,A,A,B,C,C,A,D,C,D,B,B,A,B,D,D,D,A,B,C,A,C,A,A,A,D,C,C,B,A,A,A,A,B,D,D,D,C,B,D,C,C,D,D,A,D,B,B,B,D
Examinee.00013,P,Y,A,A,A,B,A,B,C,D,C,D,B,B,A,B,D,C,D,A,B,C,A,D,C,A,B,D,D,A,D,B,D,A,C,A,D,D,D,A,D,D,D,C,B,C,A,D,A,B,A,A
