Sequence,ID,All Items,Scored Items,Pretest items,Scored Proportion Correct,Rank,Percentile,Group,1,2,3,Scaled Total Score,Classification,CSEM III,CSEM IV
1,Ex001,35,31,4,0.912,19,68.33%,4,7,16,8,39.200,Fail,1.679,1.622
2,Ex002,35,31,4,0.912,19,68.33%,4,8,14,9,39.200,Fail,1.679,1.622
3,Ex003,33,30,3,0.882,27,55.00%,3,7,14,9,38.000,Fail,1.907,1.843
4,Ex004,37,33,4,0.971,3,95.00%,5,8,15,10,41.600,Fail,1.000,0.966
5,Ex005,35,32,3,0.941,9,85.00%,5,8,15,9,40.400,Fail,1.393,1.346
6,Ex006,32,30,2,0.882,27,55.00%,3,6,15,9,38.000,Fail,1.907,1.843
7,Ex007,35,31,4,0.912,19,68.33%,4,8,13,10,39.200,Fail,1.679,1.622
8,Ex008,32,28,4,0.824,41,31.67%,2,6,15,7,35.600,Pass,2.256,2.180
9,Ex009,35,31,4,0.912,19,68.33%,4,8,14,9,39.200,Fail,1.679,1.622
10,Ex010,33,30,3,0.882,27,55.00%,3,7,15,8,38.000,Fail,1.907,1.843
11,Ex011,38,33,5,0.971,3,95.00%,5,8,16,9,41.600,Fail,1.000,0.966
12,Ex012,37,33,4,0.971,3,95.00%,5,8,15,10,41.600,Fail,1.000,0.966
13,Ex013,33,30,3,0.882,27,55.00%,3,8,14,8,38.000,Fail,1.907,1.843
14,Ex014,35,30,5,0.882,27,55.00%,3,7,15,8,38.000,Fail,1.907,1.843
15,Ex015,31,28,3,0.824,41,31.67%,2,8,11,9,35.600,Pass,2.256,2.180
16,Ex016,38,33,5,0.971,3,95.00%,5,8,15,10,41.600,Fail,1.000,0.966
17,Ex017,36,32,4,0.941,9,85.00%,5,8,15,9,40.400,Fail,1.393,1.346
18,Ex018,27,24,3,0.706,51,15.00%,1,7,11,6,30.800,Pass,2.697,2.606
19,Ex019,25,21,4,0.618,60,0.00%,1,5,8,8,27.200,Pass,2.876,2.779
20,Ex020,35,30,5,0.882,27,55.00%,3,7,13,10,38.000,Fail,1.907,1.843
21,Ex021,36,32,4,0.941,9,85.00%,5,7,15,10,40.400,Fail,1.393,1.346
22,Ex022,25,22,3,0.647,57,5.00%,1,7,11,4,28.400,Pass,2.828,2.733
23,Ex023,36,32,4,0.941,9,85.00%,5,8,14,10,40.400,Fail,1.393,1.346
24,Ex024,33,29,4,0.853,37,38.33%,2,8,15,6,36.800,Pass,2.096,2.025
25,Ex025,36,32,4,0.941,9,85.00%,5,7,16,9,40.400,Fail,1.393,1.346
26,Ex026,36,31,5,0.912,19,68.33%,4,8,13,10,39.200,Fail,1.679,1.622
27,Ex027,31,27,4,0.794,45,25.00%,2,8,11,8,34.400,Pass,2.393,2.312
28,Ex028,36,31,5,0.912,19,68.33%,4,7,15,9,39.200,Fail,1.679,1.622
29,Ex029,32,27,5,0.794,45,25.00%,2,7,12,8,34.400,Pass,2.393,2.312
30,Ex030,39,34,5,1.000,1,98.33%,5,8,16,10,42.800,Fail,0.000,0.000
31,Ex031,26,22,4,0.647,57,5.00%,1,6,10,6,28.400,Pass,2.828,2.733
32,Ex032,32,28,4,0.824,41,31.67%,2,7,14,7,35.600,Pass,2.256,2.180
33,Ex033,38,33,5,0.971,3,95.00%,5,8,15,10,41.600,Fail,1.000,0.966
34,Ex034,35,31,4,0.912,19,68.33%,4,8,13,10,39.200,Fail,1.679,1.622
35,Ex035,32,30,2,0.882,27,55.00%,3,8,13,9,38.000,Fail,1.907,1.843
36,Ex036,27,24,3,0.706,51,15.00%,1,6,9,9,30.800,Pass,2.697,2.606
37,Ex037,37,32,5,0.941,9,85.00%,5,8,16,8,40.400,Fail,1.393,1.346
38,Ex038,33,29,4,0.853,37,38.33%,2,8,13,8,36.800,Pass,2.096,2.025
39,Ex039,39,34,5,1.000,1,98.33%,5,8,16,10,42.800,Fail,0.000,0.000
40,Ex040,26,23,3,0.676,54,10.00%,1,7,7,9,29.600,Pass,2.769,2.675
41,Ex041,30,27,3,0.794,45,25.00%,2,7,13,7,34.400,Pass,2.393,2.312
42,Ex042,35,30,5,0.882,27,55.00%,3,8,14,8,38.000,Fail,1.907,1.843
43,Ex043,36,31,5,0.912,19,68.33%,4,7,15,9,39.200,Fail,1.679,1.622
44,Ex044,37,32,5,0.941,9,85.00%,5,8,14,10,40.400,Fail,1.393,1.346
